0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1533 ;    mean_val =   1451.30 ;    std_val = 29.22
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1533 ;    mean_val =   1451.38 ;    std_val = 31.22
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1534 ;    mean_val =   1451.25 ;    std_val = 32.83
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1518 ;    mean_val =   1444.78 ;    std_val = 29.78
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1518 ;    mean_val =   1437.21 ;    std_val = 31.46
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1518 ;    mean_val =   1432.12 ;    std_val = 32.64
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1488 ;    mean_val =   1427.03 ;    std_val = 29.40
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1492 ;    mean_val =   1434.67 ;    std_val = 28.50
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1490 ;    mean_val =   1429.01 ;    std_val = 29.70
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1482 ;    mean_val =   1422.30 ;    std_val = 32.71
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1492 ;    mean_val =   1423.50 ;    std_val = 33.72
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1478 ;    mean_val =   1408.59 ;    std_val = 33.77
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1476 ;    mean_val =   1402.33 ;    std_val = 33.11
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1476 ;    mean_val =   1406.51 ;    std_val = 30.70
