0: covered =  99 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1507 ;    mean_val =   1433.69 ;    std_val =146.44
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1509 ;    mean_val =   1444.98 ;    std_val = 25.81
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1516 ;    mean_val =   1444.15 ;    std_val = 25.42
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1492 ;    mean_val =   1440.60 ;    std_val = 21.92
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1493 ;    mean_val =   1439.68 ;    std_val = 25.38
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1493 ;    mean_val =   1433.73 ;    std_val = 24.58
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1493 ;    mean_val =   1433.57 ;    std_val = 25.61
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1489 ;    mean_val =   1423.64 ;    std_val = 25.88
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1490 ;    mean_val =   1423.65 ;    std_val = 27.27
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1490 ;    mean_val =   1418.48 ;    std_val = 24.65
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1490 ;    mean_val =   1411.05 ;    std_val = 25.08
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1482 ;    mean_val =   1404.29 ;    std_val = 21.74
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1469 ;    mean_val =   1403.55 ;    std_val = 21.35
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1469 ;    mean_val =   1402.64 ;    std_val = 21.56
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1469 ;    mean_val =   1402.81 ;    std_val = 23.45
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1472 ;    mean_val =   1401.28 ;    std_val = 23.22
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1469 ;    mean_val =   1409.64 ;    std_val = 28.28
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1468 ;    mean_val =   1406.43 ;    std_val = 28.70
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1467 ;    mean_val =   1405.61 ;    std_val = 28.71
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1472 ;    mean_val =   1402.03 ;    std_val = 26.93
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1472 ;    mean_val =   1396.67 ;    std_val = 21.90
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1472 ;    mean_val =   1396.08 ;    std_val = 24.18
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1472 ;    mean_val =   1394.86 ;    std_val = 28.15
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1472 ;    mean_val =   1396.06 ;    std_val = 30.36
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1471 ;    mean_val =   1387.45 ;    std_val = 20.00
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1471 ;    mean_val =   1388.00 ;    std_val = 19.89
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1471 ;    mean_val =   1387.66 ;    std_val = 19.40
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1473 ;    mean_val =   1390.95 ;    std_val = 22.77
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1473 ;    mean_val =   1387.72 ;    std_val = 20.14
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1473 ;    mean_val =   1386.26 ;    std_val = 20.39
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1352 ;    max_val =  1440 ;    mean_val =   1383.08 ;    std_val = 17.91
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1440 ;    mean_val =   1379.95 ;    std_val = 16.85
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1352 ;    max_val =  1440 ;    mean_val =   1380.38 ;    std_val = 16.99
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1352 ;    max_val =  1440 ;    mean_val =   1380.53 ;    std_val = 16.36
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1415 ;    mean_val =   1378.62 ;    std_val = 15.40
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1416 ;    mean_val =   1373.55 ;    std_val = 12.71
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1415 ;    mean_val =   1371.14 ;    std_val = 12.33
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1415 ;    mean_val =   1367.61 ;    std_val = 11.34
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1386 ;    mean_val =   1366.83 ;    std_val =  9.44
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1388 ;    mean_val =   1367.04 ;    std_val =  9.64
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1393 ;    mean_val =   1364.90 ;    std_val =  9.58
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1394 ;    mean_val =   1364.82 ;    std_val = 11.07
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1394 ;    mean_val =   1365.35 ;    std_val = 11.07
