0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1542 ;    mean_val =   1446.22 ;    std_val = 27.25
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1542 ;    mean_val =   1441.23 ;    std_val = 29.44
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1543 ;    mean_val =   1440.67 ;    std_val = 31.32
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1542 ;    mean_val =   1437.59 ;    std_val = 30.85
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1542 ;    mean_val =   1438.88 ;    std_val = 31.32
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1542 ;    mean_val =   1430.44 ;    std_val = 29.55
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1542 ;    mean_val =   1425.44 ;    std_val = 28.80
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1542 ;    mean_val =   1422.26 ;    std_val = 29.65
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1504 ;    mean_val =   1416.90 ;    std_val = 27.28
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1504 ;    mean_val =   1417.02 ;    std_val = 27.13
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1504 ;    mean_val =   1418.98 ;    std_val = 30.36
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1512 ;    mean_val =   1407.63 ;    std_val = 26.31
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1512 ;    mean_val =   1409.30 ;    std_val = 30.48
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1534 ;    mean_val =   1408.36 ;    std_val = 36.22
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1534 ;    mean_val =   1399.52 ;    std_val = 32.42
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1534 ;    mean_val =   1396.93 ;    std_val = 27.98
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1534 ;    mean_val =   1396.60 ;    std_val = 33.40
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1534 ;    mean_val =   1398.32 ;    std_val = 34.62
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1534 ;    mean_val =   1397.46 ;    std_val = 35.11
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1517 ;    mean_val =   1394.85 ;    std_val = 33.23
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1518 ;    mean_val =   1395.49 ;    std_val = 35.02
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1518 ;    mean_val =   1396.11 ;    std_val = 32.57
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1517 ;    mean_val =   1391.18 ;    std_val = 30.08
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1521 ;    mean_val =   1396.70 ;    std_val = 36.97
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1522 ;    mean_val =   1399.14 ;    std_val = 41.62
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1522 ;    mean_val =   1392.87 ;    std_val = 32.52
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1522 ;    mean_val =   1394.40 ;    std_val = 34.52
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1522 ;    mean_val =   1391.47 ;    std_val = 32.92
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1515 ;    mean_val =   1387.73 ;    std_val = 26.37
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1509 ;    mean_val =   1387.91 ;    std_val = 23.06
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1352 ;    max_val =  1509 ;    mean_val =   1388.80 ;    std_val = 23.07
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1509 ;    mean_val =   1387.36 ;    std_val = 23.14
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1509 ;    mean_val =   1384.98 ;    std_val = 23.51
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1509 ;    mean_val =   1381.73 ;    std_val = 23.52
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1509 ;    mean_val =   1380.93 ;    std_val = 21.64
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1509 ;    mean_val =   1381.98 ;    std_val = 21.11
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1509 ;    mean_val =   1379.65 ;    std_val = 20.52
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1509 ;    mean_val =   1376.52 ;    std_val = 21.73
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1509 ;    mean_val =   1378.25 ;    std_val = 22.55
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1340 ;    max_val =  1509 ;    mean_val =   1378.29 ;    std_val = 23.47
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1509 ;    mean_val =   1375.75 ;    std_val = 25.00
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1509 ;    mean_val =   1373.80 ;    std_val = 25.94
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1508 ;    mean_val =   1368.81 ;    std_val = 24.36
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1311 ;    max_val =  1508 ;    mean_val =   1370.04 ;    std_val = 26.36
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1311 ;    max_val =  1508 ;    mean_val =   1366.63 ;    std_val = 27.08
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1306 ;    max_val =  1428 ;    mean_val =   1361.41 ;    std_val = 23.46
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1430 ;    mean_val =   1358.26 ;    std_val = 25.69
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1428 ;    mean_val =   1351.78 ;    std_val = 25.03
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1428 ;    mean_val =   1350.69 ;    std_val = 24.65
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1406 ;    mean_val =   1344.70 ;    std_val = 27.83
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1299 ;    max_val =  1401 ;    mean_val =   1339.54 ;    std_val = 26.61
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1299 ;    max_val =  1401 ;    mean_val =   1333.55 ;    std_val = 25.55
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1300 ;    max_val =  1407 ;    mean_val =   1330.25 ;    std_val = 22.58
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1407 ;    mean_val =   1326.48 ;    std_val = 23.57
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1299 ;    max_val =  1407 ;    mean_val =   1320.48 ;    std_val = 21.87
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1407 ;    mean_val =   1315.99 ;    std_val = 20.22
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1295 ;    max_val =  1407 ;    mean_val =   1316.26 ;    std_val = 21.35
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1295 ;    max_val =  1407 ;    mean_val =   1314.56 ;    std_val = 20.39
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1297 ;    max_val =  1382 ;    mean_val =   1313.18 ;    std_val = 17.62
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1294 ;    max_val =  1382 ;    mean_val =   1313.44 ;    std_val = 17.24
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1293 ;    max_val =  1382 ;    mean_val =   1310.96 ;    std_val = 15.64
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1292 ;    max_val =  1382 ;    mean_val =   1309.80 ;    std_val = 14.43
62: covered = 100 ;    is_min_covered =    1 ;    min_val =  1292 ;    max_val =  1382 ;    mean_val =   1307.40 ;    std_val = 12.34
63: covered = 100 ;    is_min_covered =    1 ;    min_val =  1292 ;    max_val =  1382 ;    mean_val =   1306.75 ;    std_val = 10.85
64: covered = 100 ;    is_min_covered =    1 ;    min_val =  1291 ;    max_val =  1342 ;    mean_val =   1304.77 ;    std_val =  9.55
65: covered = 100 ;    is_min_covered =    1 ;    min_val =  1287 ;    max_val =  1334 ;    mean_val =   1302.45 ;    std_val =  9.03
66: covered = 100 ;    is_min_covered =    1 ;    min_val =  1287 ;    max_val =  1334 ;    mean_val =   1301.87 ;    std_val =  8.96
