0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1504 ;    mean_val =   1448.80 ;    std_val = 22.88
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1506 ;    mean_val =   1452.96 ;    std_val = 23.20
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1525 ;    mean_val =   1449.77 ;    std_val = 24.70
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1525 ;    mean_val =   1445.22 ;    std_val = 24.02
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1522 ;    mean_val =   1445.66 ;    std_val = 25.81
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1514 ;    mean_val =   1444.50 ;    std_val = 26.15
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1498 ;    mean_val =   1448.18 ;    std_val = 25.10
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1498 ;    mean_val =   1447.50 ;    std_val = 24.36
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1508 ;    mean_val =   1449.89 ;    std_val = 23.26
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1400 ;    max_val =  1508 ;    mean_val =   1449.02 ;    std_val = 24.06
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1510 ;    mean_val =   1445.10 ;    std_val = 27.37
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1499 ;    mean_val =   1442.59 ;    std_val = 25.76
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1508 ;    mean_val =   1437.75 ;    std_val = 27.38
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1485 ;    mean_val =   1434.56 ;    std_val = 25.90
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1484 ;    mean_val =   1431.39 ;    std_val = 24.41
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1487 ;    mean_val =   1430.54 ;    std_val = 24.91
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1487 ;    mean_val =   1430.84 ;    std_val = 25.28
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1496 ;    mean_val =   1433.08 ;    std_val = 26.21
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1481 ;    mean_val =   1428.21 ;    std_val = 22.36
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1478 ;    mean_val =   1423.27 ;    std_val = 20.32
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1478 ;    mean_val =   1420.14 ;    std_val = 18.94
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1478 ;    mean_val =   1417.30 ;    std_val = 17.68
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1478 ;    mean_val =   1415.88 ;    std_val = 16.88
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1486 ;    mean_val =   1419.01 ;    std_val = 18.32
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1478 ;    mean_val =   1416.24 ;    std_val = 17.18
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1490 ;    mean_val =   1415.32 ;    std_val = 19.16
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1476 ;    mean_val =   1411.47 ;    std_val = 17.22
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1451 ;    mean_val =   1409.04 ;    std_val = 14.36
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1442 ;    mean_val =   1407.06 ;    std_val = 13.78
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1442 ;    mean_val =   1403.83 ;    std_val = 14.30
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1436 ;    mean_val =   1401.74 ;    std_val = 15.19
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1441 ;    mean_val =   1399.47 ;    std_val = 16.61
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1436 ;    mean_val =   1397.03 ;    std_val = 16.43
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1444 ;    mean_val =   1396.54 ;    std_val = 17.20
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1436 ;    mean_val =   1395.41 ;    std_val = 17.51
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1437 ;    mean_val =   1393.92 ;    std_val = 16.96
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1437 ;    mean_val =   1390.39 ;    std_val = 17.71
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1437 ;    mean_val =   1391.74 ;    std_val = 17.45
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1430 ;    mean_val =   1390.22 ;    std_val = 17.45
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1419 ;    mean_val =   1389.31 ;    std_val = 15.64
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1414 ;    mean_val =   1387.22 ;    std_val = 15.35
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1423 ;    mean_val =   1387.70 ;    std_val = 15.10
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1340 ;    max_val =  1424 ;    mean_val =   1385.43 ;    std_val = 18.71
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1431 ;    mean_val =   1380.82 ;    std_val = 21.17
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1431 ;    mean_val =   1379.64 ;    std_val = 21.76
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1424 ;    mean_val =   1379.36 ;    std_val = 23.45
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1424 ;    mean_val =   1374.33 ;    std_val = 23.49
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1420 ;    mean_val =   1371.86 ;    std_val = 22.61
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1319 ;    max_val =  1420 ;    mean_val =   1370.92 ;    std_val = 22.16
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1319 ;    max_val =  1426 ;    mean_val =   1369.00 ;    std_val = 23.22
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1430 ;    mean_val =   1368.63 ;    std_val = 22.64
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1432 ;    mean_val =   1368.61 ;    std_val = 23.46
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1432 ;    mean_val =   1367.44 ;    std_val = 24.23
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1430 ;    mean_val =   1361.53 ;    std_val = 20.17
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1430 ;    mean_val =   1360.37 ;    std_val = 21.84
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1417 ;    mean_val =   1362.77 ;    std_val = 22.08
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1417 ;    mean_val =   1365.61 ;    std_val = 21.26
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1409 ;    mean_val =   1364.14 ;    std_val = 21.24
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1325 ;    max_val =  1409 ;    mean_val =   1362.60 ;    std_val = 22.06
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1325 ;    max_val =  1411 ;    mean_val =   1362.15 ;    std_val = 23.09
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1411 ;    mean_val =   1357.76 ;    std_val = 23.77
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1403 ;    mean_val =   1354.23 ;    std_val = 21.51
