0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1507 ;    mean_val =   1442.12 ;    std_val = 24.88
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1515 ;    mean_val =   1441.46 ;    std_val = 26.38
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1515 ;    mean_val =   1436.07 ;    std_val = 25.16
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1507 ;    mean_val =   1434.57 ;    std_val = 28.90
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1507 ;    mean_val =   1434.80 ;    std_val = 31.19
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1504 ;    mean_val =   1430.36 ;    std_val = 29.74
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1502 ;    mean_val =   1427.33 ;    std_val = 30.36
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1502 ;    mean_val =   1428.24 ;    std_val = 31.95
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1504 ;    mean_val =   1427.05 ;    std_val = 31.15
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1485 ;    mean_val =   1422.20 ;    std_val = 28.34
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1485 ;    mean_val =   1421.47 ;    std_val = 28.38
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1495 ;    mean_val =   1426.31 ;    std_val = 33.44
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1485 ;    mean_val =   1430.19 ;    std_val = 29.20
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1485 ;    mean_val =   1427.43 ;    std_val = 25.88
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1493 ;    mean_val =   1424.73 ;    std_val = 26.89
