0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1504 ;    mean_val =   1437.93 ;    std_val = 29.08
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1504 ;    mean_val =   1432.36 ;    std_val = 32.14
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1505 ;    mean_val =   1428.03 ;    std_val = 37.92
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1505 ;    mean_val =   1413.81 ;    std_val = 32.23
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1504 ;    mean_val =   1405.72 ;    std_val = 24.98
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1504 ;    mean_val =   1400.84 ;    std_val = 25.24
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1504 ;    mean_val =   1398.75 ;    std_val = 25.91
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1504 ;    mean_val =   1396.53 ;    std_val = 23.57
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1504 ;    mean_val =   1393.41 ;    std_val = 23.06
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1502 ;    mean_val =   1392.00 ;    std_val = 21.25
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1460 ;    mean_val =   1391.82 ;    std_val = 20.42
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1460 ;    mean_val =   1388.14 ;    std_val = 18.29
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1459 ;    mean_val =   1384.68 ;    std_val = 17.32
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1459 ;    mean_val =   1383.31 ;    std_val = 21.14
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1459 ;    mean_val =   1384.25 ;    std_val = 21.27
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1459 ;    mean_val =   1378.98 ;    std_val = 19.60
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1459 ;    mean_val =   1379.82 ;    std_val = 22.84
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1459 ;    mean_val =   1382.15 ;    std_val = 25.43
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1467 ;    mean_val =   1380.58 ;    std_val = 27.75
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1467 ;    mean_val =   1378.75 ;    std_val = 26.56
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1462 ;    mean_val =   1376.48 ;    std_val = 27.26
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1333 ;    max_val =  1462 ;    mean_val =   1377.10 ;    std_val = 26.60
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1467 ;    mean_val =   1373.22 ;    std_val = 24.36
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1467 ;    mean_val =   1372.16 ;    std_val = 21.57
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1350 ;    max_val =  1461 ;    mean_val =   1374.03 ;    std_val = 21.38
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1459 ;    mean_val =   1371.47 ;    std_val = 19.90
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1459 ;    mean_val =   1371.55 ;    std_val = 19.84
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1432 ;    mean_val =   1367.61 ;    std_val = 10.61
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1432 ;    mean_val =   1366.85 ;    std_val = 11.06
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1432 ;    mean_val =   1365.07 ;    std_val = 12.19
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1433 ;    mean_val =   1364.27 ;    std_val = 12.44
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1433 ;    mean_val =   1365.03 ;    std_val = 13.21
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1390 ;    mean_val =   1363.02 ;    std_val = 12.45
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1390 ;    mean_val =   1360.05 ;    std_val = 14.39
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1393 ;    mean_val =   1357.30 ;    std_val = 13.80
