0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1536 ;    mean_val =   1453.21 ;    std_val = 26.49
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1512 ;    mean_val =   1444.39 ;    std_val = 24.24
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1507 ;    mean_val =   1444.11 ;    std_val = 22.17
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1411 ;    max_val =  1507 ;    mean_val =   1446.58 ;    std_val = 19.66
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1485 ;    mean_val =   1443.14 ;    std_val = 16.62
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1485 ;    mean_val =   1439.73 ;    std_val = 18.66
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1492 ;    mean_val =   1430.94 ;    std_val = 19.35
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1470 ;    mean_val =   1425.24 ;    std_val = 18.06
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1470 ;    mean_val =   1421.11 ;    std_val = 20.97
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1470 ;    mean_val =   1421.31 ;    std_val = 20.68
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1459 ;    mean_val =   1409.74 ;    std_val = 19.62
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1449 ;    mean_val =   1400.66 ;    std_val = 19.37
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1435 ;    mean_val =   1390.66 ;    std_val = 15.71
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1438 ;    mean_val =   1386.21 ;    std_val = 17.06
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1438 ;    mean_val =   1382.21 ;    std_val = 16.38
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1413 ;    mean_val =   1376.94 ;    std_val = 13.53
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1405 ;    mean_val =   1372.74 ;    std_val = 10.92
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1397 ;    mean_val =   1369.96 ;    std_val = 11.52
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1397 ;    mean_val =   1364.53 ;    std_val = 10.28
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1390 ;    mean_val =   1362.79 ;    std_val =  9.92
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1380 ;    mean_val =   1359.42 ;    std_val =  8.29
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1380 ;    mean_val =   1357.95 ;    std_val =  7.53
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1384 ;    mean_val =   1356.99 ;    std_val =  8.27
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1379 ;    mean_val =   1355.56 ;    std_val =  7.22
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1376 ;    mean_val =   1353.99 ;    std_val =  5.96
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1376 ;    mean_val =   1353.72 ;    std_val =  5.95
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1373 ;    mean_val =   1353.52 ;    std_val =  6.26
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1372 ;    mean_val =   1352.21 ;    std_val =  5.48
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1333 ;    max_val =  1362 ;    mean_val =   1350.02 ;    std_val =  6.15
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1363 ;    mean_val =   1348.83 ;    std_val =  7.08
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1369 ;    mean_val =   1349.71 ;    std_val =  7.78
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1369 ;    mean_val =   1348.39 ;    std_val =  7.07
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1330 ;    max_val =  1371 ;    mean_val =   1345.96 ;    std_val =  7.27
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1331 ;    max_val =  1371 ;    mean_val =   1343.99 ;    std_val =  6.74
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1362 ;    mean_val =   1341.68 ;    std_val =  6.16
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1356 ;    mean_val =   1340.86 ;    std_val =  6.25
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1353 ;    mean_val =   1339.57 ;    std_val =  6.10
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1316 ;    max_val =  1369 ;    mean_val =   1337.90 ;    std_val =  8.20
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1316 ;    max_val =  1351 ;    mean_val =   1335.57 ;    std_val =  7.17
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1317 ;    max_val =  1354 ;    mean_val =   1333.96 ;    std_val =  8.54
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1314 ;    max_val =  1354 ;    mean_val =   1329.41 ;    std_val =  8.75
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1308 ;    max_val =  1354 ;    mean_val =   1327.11 ;    std_val =  9.17
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1317 ;    max_val =  1347 ;    mean_val =   1326.81 ;    std_val =  7.52
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1316 ;    max_val =  1343 ;    mean_val =   1324.99 ;    std_val =  7.37
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1315 ;    max_val =  1343 ;    mean_val =   1323.07 ;    std_val =  6.46
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1309 ;    max_val =  1343 ;    mean_val =   1321.35 ;    std_val =  5.61
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1309 ;    max_val =  1337 ;    mean_val =   1319.36 ;    std_val =  4.20
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1309 ;    max_val =  1340 ;    mean_val =   1319.69 ;    std_val =  5.29
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1309 ;    max_val =  1340 ;    mean_val =   1317.85 ;    std_val =  5.50
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1307 ;    max_val =  1338 ;    mean_val =   1318.17 ;    std_val =  5.79
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1335 ;    mean_val =   1316.17 ;    std_val =  5.46
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1328 ;    mean_val =   1315.37 ;    std_val =  5.20
