0: covered =  99 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1536 ;    mean_val =   1438.09 ;    std_val =146.23
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1505 ;    mean_val =   1446.77 ;    std_val = 21.60
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1485 ;    mean_val =   1436.18 ;    std_val = 23.64
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1485 ;    mean_val =   1417.68 ;    std_val = 19.61
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1475 ;    mean_val =   1412.19 ;    std_val = 17.95
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1451 ;    mean_val =   1408.86 ;    std_val = 15.52
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1449 ;    mean_val =   1405.85 ;    std_val = 16.08
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1443 ;    mean_val =   1400.53 ;    std_val = 11.32
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1424 ;    mean_val =   1395.29 ;    std_val =  9.63
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1425 ;    mean_val =   1393.15 ;    std_val = 12.38
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1434 ;    mean_val =   1387.90 ;    std_val = 11.72
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1411 ;    mean_val =   1384.26 ;    std_val = 12.75
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1404 ;    mean_val =   1377.21 ;    std_val = 14.49
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1427 ;    mean_val =   1371.69 ;    std_val = 14.96
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1427 ;    mean_val =   1369.69 ;    std_val = 14.43
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1404 ;    mean_val =   1368.64 ;    std_val = 12.83
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1404 ;    mean_val =   1366.16 ;    std_val = 11.42
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1390 ;    mean_val =   1361.64 ;    std_val =  8.89
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1385 ;    mean_val =   1359.67 ;    std_val =  9.91
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1381 ;    mean_val =   1356.30 ;    std_val = 10.34
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1325 ;    max_val =  1381 ;    mean_val =   1353.29 ;    std_val = 12.67
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1380 ;    mean_val =   1346.75 ;    std_val = 13.16
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1380 ;    mean_val =   1340.59 ;    std_val = 10.05
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1380 ;    mean_val =   1338.78 ;    std_val =  8.19
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1378 ;    mean_val =   1336.29 ;    std_val =  7.19
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1356 ;    mean_val =   1334.84 ;    std_val =  5.34
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1351 ;    mean_val =   1333.57 ;    std_val =  4.99
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1351 ;    mean_val =   1331.86 ;    std_val =  4.93
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1345 ;    mean_val =   1331.15 ;    std_val =  4.35
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1345 ;    mean_val =   1330.23 ;    std_val =  4.58
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1320 ;    max_val =  1351 ;    mean_val =   1330.11 ;    std_val =  5.72
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1325 ;    max_val =  1348 ;    mean_val =   1329.63 ;    std_val =  4.33
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1346 ;    mean_val =   1328.68 ;    std_val =  3.75
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1314 ;    max_val =  1342 ;    mean_val =   1327.65 ;    std_val =  3.69
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1314 ;    max_val =  1342 ;    mean_val =   1325.91 ;    std_val =  5.53
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1312 ;    max_val =  1342 ;    mean_val =   1324.45 ;    std_val =  5.56
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1312 ;    max_val =  1340 ;    mean_val =   1322.76 ;    std_val =  6.49
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1312 ;    max_val =  1338 ;    mean_val =   1321.70 ;    std_val =  6.22
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1307 ;    max_val =  1334 ;    mean_val =   1318.28 ;    std_val =  6.04
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1307 ;    max_val =  1330 ;    mean_val =   1316.02 ;    std_val =  4.91
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1327 ;    mean_val =   1314.03 ;    std_val =  4.63
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1329 ;    mean_val =   1312.90 ;    std_val =  5.07
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1329 ;    mean_val =   1311.15 ;    std_val =  5.10
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1297 ;    max_val =  1323 ;    mean_val =   1309.84 ;    std_val =  4.89
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1319 ;    mean_val =   1307.50 ;    std_val =  4.66
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1295 ;    max_val =  1321 ;    mean_val =   1307.10 ;    std_val =  4.78
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1320 ;    mean_val =   1307.72 ;    std_val =  4.39
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1321 ;    mean_val =   1306.97 ;    std_val =  4.78
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1295 ;    max_val =  1325 ;    mean_val =   1305.51 ;    std_val =  4.62
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1296 ;    max_val =  1317 ;    mean_val =   1305.00 ;    std_val =  4.03
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1296 ;    max_val =  1314 ;    mean_val =   1303.91 ;    std_val =  3.51
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1296 ;    max_val =  1311 ;    mean_val =   1304.45 ;    std_val =  3.44
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1294 ;    max_val =  1313 ;    mean_val =   1302.83 ;    std_val =  3.72
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1291 ;    max_val =  1312 ;    mean_val =   1302.35 ;    std_val =  4.11
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1289 ;    max_val =  1312 ;    mean_val =   1301.80 ;    std_val =  4.66
