0: covered =  97 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1536 ;    mean_val =   1390.85 ;    std_val =273.79
1: covered =  97 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1536 ;    mean_val =   1392.04 ;    std_val =250.22
2: covered =  98 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1536 ;    mean_val =   1392.97 ;    std_val =214.13
3: covered =  99 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1536 ;    mean_val =   1401.73 ;    std_val =182.40
4: covered = 100 ;    is_min_covered =    1 ;    min_val =   725 ;    max_val =  1536 ;    mean_val =   1398.68 ;    std_val =134.71
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1192 ;    max_val =  1536 ;    mean_val =   1307.75 ;    std_val =120.09
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1184 ;    max_val =  1536 ;    mean_val =   1273.67 ;    std_val =112.70
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1179 ;    max_val =  1536 ;    mean_val =   1261.46 ;    std_val =105.71
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1181 ;    max_val =  1536 ;    mean_val =   1229.66 ;    std_val = 82.71
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1182 ;    max_val =  1529 ;    mean_val =   1227.30 ;    std_val = 76.50
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1179 ;    max_val =  1529 ;    mean_val =   1216.97 ;    std_val = 69.96
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1179 ;    max_val =  1529 ;    mean_val =   1213.15 ;    std_val = 62.89
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1174 ;    max_val =  1529 ;    mean_val =   1203.73 ;    std_val = 50.41
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1166 ;    max_val =  1529 ;    mean_val =   1199.43 ;    std_val = 34.80
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1166 ;    max_val =  1529 ;    mean_val =   1199.69 ;    std_val = 35.42
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1166 ;    max_val =  1244 ;    mean_val =   1196.50 ;    std_val = 14.14
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1165 ;    max_val =  1252 ;    mean_val =   1192.23 ;    std_val = 16.16
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1164 ;    max_val =  1252 ;    mean_val =   1189.24 ;    std_val = 14.79
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1164 ;    max_val =  1252 ;    mean_val =   1188.37 ;    std_val = 16.42
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1158 ;    max_val =  1265 ;    mean_val =   1188.87 ;    std_val = 19.22
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1158 ;    max_val =  1252 ;    mean_val =   1186.85 ;    std_val = 18.47
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1153 ;    max_val =  1252 ;    mean_val =   1183.81 ;    std_val = 18.91
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1140 ;    max_val =  1238 ;    mean_val =   1179.00 ;    std_val = 16.54
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1140 ;    max_val =  1238 ;    mean_val =   1175.23 ;    std_val = 17.53
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1140 ;    max_val =  1238 ;    mean_val =   1172.08 ;    std_val = 19.09
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1121 ;    max_val =  1233 ;    mean_val =   1169.74 ;    std_val = 20.08
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1127 ;    max_val =  1233 ;    mean_val =   1165.10 ;    std_val = 20.25
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1117 ;    max_val =  1233 ;    mean_val =   1160.70 ;    std_val = 20.95
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1118 ;    max_val =  1233 ;    mean_val =   1157.60 ;    std_val = 22.92
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1122 ;    max_val =  1233 ;    mean_val =   1151.84 ;    std_val = 23.13
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1122 ;    max_val =  1244 ;    mean_val =   1147.35 ;    std_val = 21.48
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1121 ;    max_val =  1244 ;    mean_val =   1142.82 ;    std_val = 18.23
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1109 ;    max_val =  1233 ;    mean_val =   1140.47 ;    std_val = 15.78
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1122 ;    max_val =  1233 ;    mean_val =   1139.47 ;    std_val = 15.17
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1114 ;    max_val =  1172 ;    mean_val =   1136.76 ;    std_val = 12.92
