0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1504 ;    mean_val =   1447.52 ;    std_val = 25.11
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1505 ;    mean_val =   1442.19 ;    std_val = 26.42
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1505 ;    mean_val =   1441.47 ;    std_val = 27.76
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1516 ;    mean_val =   1440.15 ;    std_val = 35.71
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1505 ;    mean_val =   1439.57 ;    std_val = 35.74
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1511 ;    mean_val =   1425.99 ;    std_val = 38.87
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1505 ;    mean_val =   1426.38 ;    std_val = 38.34
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1504 ;    mean_val =   1424.23 ;    std_val = 38.97
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1504 ;    mean_val =   1413.97 ;    std_val = 32.73
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1504 ;    mean_val =   1411.86 ;    std_val = 31.74
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1476 ;    mean_val =   1407.89 ;    std_val = 28.11
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1471 ;    mean_val =   1402.29 ;    std_val = 25.15
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1471 ;    mean_val =   1395.39 ;    std_val = 21.89
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1472 ;    mean_val =   1394.46 ;    std_val = 19.99
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1448 ;    mean_val =   1390.31 ;    std_val = 19.08
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1420 ;    mean_val =   1382.87 ;    std_val = 14.43
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1424 ;    mean_val =   1379.44 ;    std_val = 13.39
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1419 ;    mean_val =   1378.25 ;    std_val = 12.63
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1407 ;    mean_val =   1376.78 ;    std_val = 11.89
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1419 ;    mean_val =   1372.98 ;    std_val = 13.67
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1409 ;    mean_val =   1373.31 ;    std_val = 12.41
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1412 ;    mean_val =   1373.29 ;    std_val = 13.09
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1405 ;    mean_val =   1370.66 ;    std_val = 12.84
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1417 ;    mean_val =   1369.69 ;    std_val = 12.42
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1417 ;    mean_val =   1369.99 ;    std_val = 13.48
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1409 ;    mean_val =   1368.67 ;    std_val = 12.89
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1409 ;    mean_val =   1368.51 ;    std_val = 11.73
